Station Name: HOLYCROSS-Cabragh_Wetlands
Station Height: 94 M 
Latitude:52.640  ,Longitude: -7.838


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
05-aug-2013,0,0.000, , , , , , 
06-aug-2013,0,0.000, , , , , , 
07-aug-2013,0,0.200, , , , , , 
08-aug-2013,0,1.400, , , , , , 
09-aug-2013,0,0.000, , , , , , 
10-aug-2013,0,0.100, , , , , , 
11-aug-2013,4,0.000, , , , , , 
12-aug-2013,0,0.000, , , , , , 
13-aug-2013,4,0.000, , , , , , 
14-aug-2013,0,1.400, , , , , , 
15-aug-2013,0,38.500, , , , , , 
16-aug-2013,0,0.500, , , , , , 
17-aug-2013,0,1.900, , , , , , 
18-aug-2013,0,0.600, , , , , , 
19-aug-2013,0,0.900, , , , , , 
20-aug-2013,0,0.000, , , , , , 
21-aug-2013,0,0.200, , , , , , 
22-aug-2013,0,0.400, , , , , , 
23-aug-2013,0,0.500, , , , , , 
24-aug-2013,0,2.500, , , , , , 
25-aug-2013,0,0.100, , , , , , 
26-aug-2013,0,0.400, , , , , , 
27-aug-2013,4,0.000, , , , , , 
28-aug-2013,4,0.000, , , , , , 
29-aug-2013,0,0.000, , , , , , 
30-aug-2013,4,0.000, , , , , , 
31-aug-2013,0,0.000, , , , , , 
01-sep-2013,0,0.000, , , , , , 
02-sep-2013,0,0.000, , , , , , 
03-sep-2013,0,0.000, , , , , , 
04-sep-2013,0,0.000, , , , , , 
05-sep-2013,4,0.000, , , , , , 
06-sep-2013,0,0.000, , , , , , 
07-sep-2013,0,2.100, , , , , , 
08-sep-2013,0,0.000, , , , , , 
09-sep-2013,4,0.000, , , , , , 
10-sep-2013,4,0.000, , , , , , 
11-sep-2013,0,0.200, , , , , , 
12-sep-2013,0,1.000, , , , , , 
13-sep-2013,0,0.000, , , , , , 
14-sep-2013,0,1.900, , , , , , 
15-sep-2013,0,3.200, , , , , , 
16-sep-2013,0,5.600, , , , , , 
17-sep-2013,0,2.300, , , , , , 
18-sep-2013,0,2.800, , , , , , 
19-sep-2013,0,0.000, , , , , , 
20-sep-2013,0,0.100, , , , , , 
21-sep-2013,0,0.000, , , , , , 
22-sep-2013,0,0.000, , , , , , 
23-sep-2013,0,0.000, , , , , , 
24-sep-2013,0,0.000, , , , , , 
25-sep-2013,0,0.100, , , , , , 
26-sep-2013,4,0.000, , , , , , 
27-sep-2013,4,0.000, , , , , , 
28-sep-2013,0,0.000, , , , , , 
29-sep-2013,0,0.900, , , , , , 
30-sep-2013,0,9.200, , , , , , 
01-oct-2013,0,23.200, , , , , , 
02-oct-2013,0,9.300, , , , , , 
03-oct-2013,0,12.400, , , , , , 
04-oct-2013,0,0.200, , , , , , 
05-oct-2013,4,0.000, , , , , , 
06-oct-2013,0,0.000, , , , , , 
07-oct-2013,0,1.700, , , , , , 
08-oct-2013,0,0.000, , , , , , 
09-oct-2013,0,0.400, , , , , , 
10-oct-2013,4,0.000, , , , , , 
11-oct-2013,0,0.000, , , , , , 
12-oct-2013,0,0.000, , , , , , 
13-oct-2013,0,0.000, , , , , , 
14-oct-2013,0,0.000, , , , , , 
15-oct-2013,0,25.600, , , , , , 
16-oct-2013,0,0.200, , , , , , 
17-oct-2013,0,2.300, , , , , , 
18-oct-2013,0,16.500, , , , , , 
19-oct-2013,0,7.400, , , , , , 
20-oct-2013,0,5.500, , , , , , 
21-oct-2013,0,6.700, , , , , , 
22-oct-2013,1,11.000, , , , , , 
23-oct-2013,1,1.600, , , , , , 
24-oct-2013,0,14.300, , , , , , 
25-oct-2013,0,0.700, , , , , , 
26-oct-2013,0,11.100, , , , , , 
27-oct-2013,0,4.400, , , , , , 
28-oct-2013,0,4.300, , , , , , 
29-oct-2013,0,1.100, , , , , , 
30-oct-2013,0,1.900, , , , , , 
31-oct-2013,0,0.700, , , , , , 
01-nov-2013,0,6.700, , , , , , 
02-nov-2013,0,6.000, , , , , , 
03-nov-2013,0,0.300, , , , , , 
04-nov-2013,0,2.600, , , , , , 
05-nov-2013,0,1.700, , , , , , 
06-nov-2013,0,2.900, , , , , , 
07-nov-2013,0,0.200, , , , , , 
08-nov-2013,0,1.300, , , , , , 
09-nov-2013,0,3.100, , , , , , 
10-nov-2013,0,12.200, , , , , , 
11-nov-2013,4,0.000, , , , , , 
12-nov-2013,0,0.000, , , , , , 
13-nov-2013,0,2.800, , , , , , 
14-nov-2013,0,0.000, , , , , , 
15-nov-2013,4,0.000, , , , , , 
16-nov-2013,0,0.500, , , , , , 
17-nov-2013,0,3.600, , , , , , 
18-nov-2013,4,0.000, , , , , , 
19-nov-2013,0,1.400, , , , , , 
20-nov-2013,0,0.000, , , , , , 
21-nov-2013,1,0.000, , , , , , 
22-nov-2013,1,0.000, , , , , , 
23-nov-2013,4,0.000, , , , , , 
24-nov-2013,0,0.100, , , , , , 
25-nov-2013,0,0.000, , , , , , 
26-nov-2013,0,0.000, , , , , , 
27-nov-2013,0,0.000, , , , , , 
28-nov-2013,0,0.000, , , , , , 
29-nov-2013,0,0.000, , , , , , 
30-nov-2013,0,0.300, , , , , , 
01-dec-2013,0,0.000, , , , , , 
02-dec-2013,0,0.000, , , , , , 
03-dec-2013,4,0.000, , , , , , 
04-dec-2013,0,0.300, , , , , , 
05-dec-2013,0,2.700, , , , , , 
06-dec-2013,0,1.600, , , , , , 
07-dec-2013,0,0.200, , , , , , 
08-dec-2013,4,0.000, , , , , , 
09-dec-2013,0,0.000, , , , , , 
10-dec-2013,0,0.000, , , , , , 
11-dec-2013,0,1.200, , , , , , 
12-dec-2013,0,2.600, , , , , , 
13-dec-2013,0,1.000, , , , , , 
14-dec-2013,0,4.800, , , , , , 
