"","Greyhound_name","Sire_Name","Dam_name","Prize","Weight","Win_time","By","Going","Est_time","SP","Grade","Comment","Date","Name_of_race1","County"
"7377","GRAHAMS STAR","RIO QUATTRO","WAY OUT","€350.00","69","29.23",NA,"-.20 Slow","29.03&nbsp","4/5","A2","EvAw,FinWl","13-Apr-19","Flat 525  ","Galway"
"7378","IMPACT TOBY","TYRUR BIG MIKE","IMPACT MIXTURE","€325.00","78","29.28",NA,"-.20 Slow","29.08&nbsp","6/4","A2","Ld 3,StyOn","13-Apr-19","Flat 525  ","Galway"
"7379","BUMBLEBEE FABIA","ROMEO RECRUIT","DUNDRUM PEARL","€285.00","55","29.74",NA,"-.20 Slow","29.54&nbsp","5/4","A5","Ld 2,drclr","19-Apr-19","Flat 525  ","Galway"
"7380","PIERVIEW HONEY","KINLOCH BRAE","PIERVIEW JANE","€50.00","58","19.53",NA,"-.10 Slow","19.43&nbsp","2/1","S6","Ld 1,RnOn","19-Apr-19","Flat 350  ","Galway"
"7381","BULLSEYE JET","DROOPYS JET","BULLSEYE TOPS","€50.00","65","19.62",NA,"-.10 Slow","19.52&nbsp","4/5","S7","SlAw,RnOn","19-Apr-19","Flat 350  ","Galway"
"7382","MYSTERIOUS WOMAN","GODSEND","MUNSBORO DIAMOND","€255.00","61","29.82",NA,"-.20 Slow","29.62&nbsp","3/1","A5","CmAg,LdNrL","19-Apr-19","Flat 525  ","Galway"
"7383","TOAST FOR TAZ","PARADISE MADISON","BARRIGONE TRAVEL","€50.00","69","19.58",NA,"-.10 Slow","19.48&nbsp","3/1","S6","M-W,Ld 2","19-Apr-19","Flat 350  ","Galway"
"7384","KILBANNON PEDRO","BALLYMAC VIC","KILBANNON KITTEN","€210.00","68","19.45",NA,"-.10 Slow","19.35&nbsp","2/1","S5","ClrRn,Ld 2","19-Apr-19","Flat 350  ","Galway"
"7385","FIRESTORM ARROW","PARADISE MADISON","FIRESTORM MARINA","€290.00","64","29.81",NA,"-.20 Slow","29.61&nbsp","5/2","A5","LdBS,StyOn","19-Apr-19","Flat 525  ","Galway"
"7386","COLOSSAL STEP","SPARTA MAESTRO","CILLOWEN FOXTROT","€310.00","69","29.43",NA,"-.20 Slow","29.23&nbsp","6/4","A3","Ld 1,StyOn","19-Apr-19","Flat 525  ","Galway"
"7387","CLONEYOGAN FLASH","KINLOCH BRAE","TIERMANA RUM","€325.00","57","29.43",NA,"-.20 Slow","29.23&nbsp","5/2","A3","A 2nd,LdNrL","19-Apr-19","Flat 525  ","Galway"
"7388","KNOCKDINE ME DA","SCOLARI ME DADDY","BEWITCHING","€350.00","71","29.49",NA,"-.20 Slow","29.29&nbsp","4/1","A3","Ld 1,HldOn","19-Apr-19","Flat 525  ","Galway"
"7389","METRO GYPSY","JACKSAJEM","EXPRESS DAWN","€255.00","62","30.13",NA,"-.20 Slow","29.93&nbsp","2/1","A7","Ld 3,HldOn","20-Apr-19","Flat 525  ","Galway"
"7390","PINNACLE BLUE","LAUGHIL DUKE","MARIES LEGACY","€50.00","53","19.79",NA,"-.10 Slow","19.69&nbsp","2/1","S8","Ld 1,StyOn","20-Apr-19","Flat 350  ","Galway"
"7391","NEWCHAPEL LAD","LENSON PANDA","HAYESES NIBBS","€50.00","61","19.88",NA,"-.10 Slow","19.78&nbsp","3/1","S9","Ld 1,RnOn","20-Apr-19","Flat 350  ","Galway"
"7392","BUMBLEBEE JASON","KINLOCH BRAE","BUMBLEBEE ROSIE","€285.00","71","29.49",NA,"-.20 Slow","29.29&nbsp","6/4","A3","Ld 1,RnOn","20-Apr-19","Flat 525  ","Galway"
"7393","BUMBLEBEE CODY","RAZLDAZL GEORGE","BUMBLEBEE ROSIE","€50.00","67","20.06",NA,"-.10 Slow","19.96&nbsp","3/1","S10","Ld 2,HldOn","20-Apr-19","Flat 350  ","Galway"
"7394","GUNNER ROBIN","TULLYMURRY ACT","GUNNER MAISIE","€205.00","57","19.62",NA,"-.10 Slow","19.52&nbsp","7/4","S7","Ld 2,RnOn","20-Apr-19","Flat 350  ","Galway"
"7395","MALBAY RUSSELL","SCOLARI ME DADDY","MALBAY SASHA","€290.00","73","29.54",NA,"-.20 Slow","29.34&nbsp","6/4","A4","Ld 1,StyOn","20-Apr-19","Flat 525  ","Galway"
"7396","BUMBLEBEE ADAM","KINLOCH BRAE","BUMBLEBEE ROSIE","€310.00","75","30.03",NA,"-.20 Slow","29.83&nbsp","5/2","A6","A 2nd,LdNrL","20-Apr-19","Flat 525  ","Galway"
"7397","HEADLEYS VICTOR","SUPERIOR PRODUCT","ONECO JOY","€50.00","69","29.07",NA,"-.20 Slow","28.87&nbsp","2/1","A1","Ld 1,HldOn","20-Apr-19","Flat 525  ","Galway"
"7398","EMMAS DREAM","PIERCESTOWN SAND","MAID OF CHINA","€50.00","65",NA,NA,"-.20 Slow","29.20&nbsp","7/4","A3","Ld 1,StyOn","20-Apr-19","Flat 525  ","Galway"
"7399","CLONEYOGAN DAZL","KINLOCH BRAE","TIERMANA RUM","€255.00","62","29.68",NA,"-.20 Slow","29.48&nbsp","1/1","A4","FAw,ALd","26-Apr-19","Flat 525  ","Galway"
"7400","CURIOUS SEAN","SUPERIOR PRODUCT","CURIOUS THINKING","€50.00","70","19.65",NA,"-.10 Slow","19.55&nbsp","5/4","S7","SlAw,EP","26-Apr-19","Flat 350  ","Galway"
"7401","WILBROOK OZZIE","SKYWALKER FARLOE","DRUMEVIN ACE","€50.00","75","19.26",NA,"-.10 Slow","19.16&nbsp","2/1","S3","QAw,ALd","26-Apr-19","Flat 350  ","Galway"
"7402","KNOCKDINE MASTER","SPARTA MAESTRO","KNOCKDINE BOREEN","€255.00","74","29.88",NA,"-.20 Slow","29.68&nbsp","2/1","A5","Ld 2,RnOn","26-Apr-19","Flat 525  ","Galway"
"7403","NEWCHAPEL LAD","LENSON PANDA","HAYESES NIBBS","€50.00","63","19.57",NA,"-.10 Slow","19.47&nbsp","2/1","S6","Ld 1,CmAg","26-Apr-19","Flat 350  ","Galway"
"7404","DANMAR JOHNNY","ISO OCTANE","DANMAR MINI","€50.00","69","19.59",NA,"-.10 Slow","19.49&nbsp","5/4","S6","Ld 1,CmAg","26-Apr-19","Flat 350  ","Galway"
"7405","KILBANNON HANNAH","TYRUR SUGAR RAY","TYRUR HANNAH","€210.00","60","30.12",NA,"-.20 Slow","29.92&nbsp","2/1","A7","EvAw,CmAg","26-Apr-19","Flat 525  ","Galway"
"7406","WILBROOK EVA","DROOPYS CAIN","WENDY LA LA","€310.00","58","29.56",NA,"-.20 Slow","29.36&nbsp","2/1","A4","A 2nd,LdNrL","26-Apr-19","Flat 525  ","Galway"
"7407","PATS TILLIE","SUPERIOR PRODUCT","LEASE PLAN","€325.00","71","29.64",NA,"-.20 Slow","29.44&nbsp","3/1","A4","M-W,ALd","26-Apr-19","Flat 525  ","Galway"
"7408","DOMINO BURKO","SCOLARI ME DADDY","DEBIDEE NANIA","€350.00","71","29.39",NA,"-.20 Slow","29.19&nbsp","3/1","A3","Ld 2,HldOn","26-Apr-19","Flat 525  ","Galway"
"7409","BESLOW PADRAIGIN","KEREIGHT KING","SOCIETY ST FLYER","€290.00","60","29.52",NA,"-.20 Slow","29.32&nbsp","6/4","A4","Ld 2,RnOn","27-Apr-19","Flat 525  ","Galway"
"7410","BADGERFORT FINE","DROOPYS JET","SARISTA","€205.00","54","19.59",NA,"-.10 Slow","19.49&nbsp","3/1","S6","QAw,ALd","27-Apr-19","Flat 350  ","Galway"
"7411","FEED ME MUSTARD","TYRUR SUGAR RAY","TYRUR SADIE","€285.00","64","29.75",NA,"-.20 Slow","29.55&nbsp","3/1","A5","FinWl,LdNrL","27-Apr-19","Flat 525  ","Galway"
"7412","FIRESTORM FALCON","PARADISE MADISON","FIRESTORM MARINA","€205.00","69","19.45",NA,"-.10 Slow","19.35&nbsp","2/1","S5","Chl 1,Ld 2","27-Apr-19","Flat 350  ","Galway"
"7413","SHES SCOTTY","CRACKING MAN","PRIORSTOWN QUEEN","€220.00","57","19.31",NA,"-.10 Slow","19.21&nbsp","3/1","S4","FAw,RnOn","27-Apr-19","Flat 350  ","Galway"
"7414","DA BO MAN","SKYWALKER LUKE","CONFEY LACE","€285.00","74","29.75",NA,"-.20 Slow","29.55&nbsp","3/1","A5","Mid,Ld 1","27-Apr-19","Flat 525  ","Galway"
"7415","GLYNNSCROSSTYLER","TUBBERTELLY DUBH","GLYNNSCROSS SCOT","€310.00","66",NA,NA,"-.20 Slow","29.30&nbsp","5/4","A4","Ld 1,RnOn","27-Apr-19","Flat 525  ","Galway"
"7416","ARTISTIC JOE","ROXHOLME BULLY","GAINING RESPECT","€325.00","70","30.57",NA,"-.20 Slow","30.37&nbsp","4/1","A2","AHandy,Strfin","27-Apr-19","Flat 550  ","Galway"
"7417","HEADLEYS VICTOR","SUPERIOR PRODUCT","ONECO JOY","€800.00","69","28.99",NA,"-.20 Slow","28.79&nbsp","2/1","A1","Ld 1,StyOn","27-Apr-19","Flat 525  ","Galway"
"7418","ASTRO AOIFE","STORM CONTROL","CRAGBRIEN SHAW","€350.00","60",NA,NA,"-.20 Slow","28.80&nbsp","7/2","A1","LdBS,Strfin","27-Apr-19","Flat 525  ","Galway"
"7419","NOTIMEWASTED","KINLOCH BRAE","BYALLMEANS","€285.00","77","29.42",NA,"-.20 Slow","29.22&nbsp","4/6","A3","Ld 2,drclr","03-May-19","Flat 525  ","Galway"
"7420","NEWCHAPEL LAD","LENSON PANDA","HAYESES NIBBS","€50.00","63","19.66",NA,"-.10 Slow","19.56&nbsp","5/2","S7","QAw,HldOn","03-May-19","Flat 350  ","Galway"
"7421","PINNACLE ABBIE","LAUGHIL DUKE","MARIES LEGACY","€50.00","51",NA,NA,"-.10 Slow","19.60&nbsp","5/2","S8","Ld 1,HldOn","03-May-19","Flat 350  ","Galway"
"7422","BUMBLEBEE FABIA","ROMEO RECRUIT","DUNDRUM PEARL","€340.00","56","30.48",NA,"-.20 Slow","30.28&nbsp","4/6","A2","Ld 1,StyOn","03-May-19","Flat 550  ","Galway"
"7423","HES OUR MAGIC","MAFI MAGIC","BLASTOFF BETTY","€205.00","90","19.52",NA,"-.10 Slow","19.42&nbsp","1/1","S6","SlAw,Strfin","03-May-19","Flat 350  ","Galway"
"7424","BADGERFORT TOMMY","AZZA AZZA AZZA","NOIRS FACE","€50.00","62","29.83",NA,"-.20 Slow","29.63&nbsp","5/2","A5","LdBS,RnOn","03-May-19","Flat 525  ","Galway"
"7425","COLLY WOBBLES","FARLOE TANGO","MOLLROSE QUEEN","€50.00","62","29.28",NA,"-.20 Slow","29.08&nbsp","3/1","A2","QAw,drclr","03-May-19","Flat 525  ","Galway"
"7426","SOME GAME","SKYWALKER LUKE","CONFEY LACE","€50.00","54","29.68",NA,"-.20 Slow","29.48&nbsp","2/1","A4","QAw,Mid","03-May-19","Flat 525  ","Galway"
"7427","RIGHTYOUBE","KINLOCH BRAE","WENDY LA LA","€50.00","70",NA,NA,"-.20 Slow","29.60&nbsp","1/1","A5","Ld 2,HldOn","03-May-19","Flat 525  ","Galway"
"7428","COLOSSAL STEP","SPARTA MAESTRO","CILLOWEN FOXTROT","€325.00","69","29.57",NA,"-.20 Slow","29.37&nbsp","2/1","A4","Ld 1,StyOn","03-May-19","Flat 525  ","Galway"
"7429","FIDELITY","CONFIDENT RANKIN","CALLURA LARK","€285.00","61","29.65",NA,"-.20 Slow","29.45&nbsp","2/1","A4","Ld 1,RnOn","04-May-19","Flat 525  ","Galway"
"7430","PATS GOLD DREAM","PARADISE MADRID","BALLINE BAWNEEN","€205.00","71","19.35",NA,"-.10 Slow","19.25&nbsp","6/4","S4","QAw,ALd","04-May-19","Flat 350  ","Galway"
"7431","GUNNER ROBIN","TULLYMURRY ACT","GUNNER MAISIE","€205.00","58","19.25",NA,"-.10 Slow","19.15&nbsp","6/4","S3","SlAw,EP","04-May-19","Flat 350  ","Galway"
"7432","BALLYHALE RON","DROOPYS JET","BALLYMAC I SAID","€290.00","71","29.27",NA,"-.20 Slow","29.07&nbsp"," ","A2","Ld 2,drclr","04-May-19","Flat 525  ","Galway"
"7433","CRINKILL CHANCER","ZERO TEN","CRINKILL LIZ","€205.00","70","19.52",NA,"-.10 Slow","19.42&nbsp","6/4","S6","Ld 1,StyOn","04-May-19","Flat 350  ","Galway"
"7434","SELINAS CHICO","CANDLELIGHT KING","SELINAS DOLLY","€210.00","68","20.11",NA,"-.10 Slow","20.01&nbsp","2/1","S10","SlAw,LdRi","04-May-19","Flat 350  ","Galway"
"7435","IMPACT TOBY","TYRUR BIG MIKE","IMPACT MIXTURE","€350.00","77","28.96",NA,"-.20 Slow","28.76&nbsp","3/1","A1","LdBS,Strfin","04-May-19","Flat 525  ","Galway"
"7436","BESLOW PADRAIGIN","KEREIGHT KING","SOCIETY ST FLYER","€75.00","60","29.33",NA,"-.20 Slow","29.13&nbsp","3/1","A3","Ld 1,StyOn","04-May-19","Flat 525  ","Galway"
"7437","SUMMERFIELD HOPE","SECRETO","TULLIG STUNNER","€75.00","55","29.27",NA,"-.20 Slow","29.07&nbsp","5/4","A2","Ld 1,HldOn","04-May-19","Flat 525  ","Galway"
"7438","EXCHANGE THREE","DROOPYS JET","MISS LOCHDEISE","€75.00","71","29.48",NA,"-.20 Slow","29.28&nbsp","3/1","A3","Strfin,LdNrL","04-May-19","Flat 525  ","Galway"
"7439","HEADFORD ACTION","DROOPYS CAIN","HEADFORD FANTASY","€50.00","71","29.24",NA,"-.20 Slow","29.04&nbsp","1/1","A2","Ld 1,Styd","10-May-19","Flat 525  ","Galway"
"7440","HEADFORD TONY","TULLYMURRY ACT","HEADFORD MAURA","€50.00","77","29.39",NA,"-.20 Slow","29.19&nbsp","5/4","A3","Ld 1,Styd","10-May-19","Flat 525  ","Galway"
"7441","BULLSEYE JET","DROOPYS JET","BULLSEYE TOPS","€1000.00","64","19.17",NA,"-.10 Slow","19.07&nbsp","6/4","S2","EP,Ld 1","10-May-19","Flat 350  ","Galway"
"7442","FOXWOOD QUEEN","BALLYMAC VIC","BADMINTON TYCHE","€50.00","61",NA,NA,"-.20 Slow","29.40&nbsp","5/4","A4","Strfin,LdNrL","10-May-19","Flat 525  ","Galway"
"7443","MYSTERIOUS LAD","SKYWALKER LUKE","ORANMORE JOSIE","€50.00","74","29.46",NA,"-.20 Slow","29.26&nbsp","2/1","A3","ALd,drclr","10-May-19","Flat 525  ","Galway"
"7444","SHES THE LADY","LAUGHIL DUKE","IZZYS PUDDLES","€50.00","53","30.09",NA,"-.20 Slow","29.89&nbsp","7/4","A6","Ld 1,StyOn","10-May-19","Flat 525  ","Galway"
"7445","CRACK ON BILLY","SUPERIOR PRODUCT","KNOCKANE ANNIE","€290.00","73","29.31",NA,"-.20 Slow","29.11&nbsp","4/5","A3","Ld 2,RnOn","10-May-19","Flat 525  ","Galway"
"7446","COLSTON ENZO","SUPERIOR PRODUCT","CURIOUS THINKING","€50.00","64",NA,NA,"-.20 Slow","29.00&nbsp","5/4","A2","Ld 1,RnOn","10-May-19","Flat 525  ","Galway"
"7447","ZENAS TARA","TULLYMURRY ACT","ASTRA HARENA","€50.00","54","29.28",NA,"-.20 Slow","29.08&nbsp","2/1","A2","QAw,RnOn","10-May-19","Flat 525  ","Galway"
"7448","ESTIMATE","DROOPYS JET","KILLINAN BABY","€325.00","62","29.31",NA,"-.20 Slow","29.11&nbsp","6/4","A3","QAw,CmAg","10-May-19","Flat 525  ","Galway"
"7449","BESLOW EMILYKATE","KEREIGHT KING","SOCIETY ST FLYER","€285.00","60","29.87",NA,"-.20 Slow","29.67&nbsp","3/1","A5","Ld 1,StyOn","11-May-19","Flat 525  ","Galway"
"7450","BODYSHOP DENOLI","RAZLDAZL JAYFKAY","BODYSHOP SLIP","€205.00","82","19.68",NA,"-.10 Slow","19.58&nbsp","2/1","S7","EP,LdNrL","11-May-19","Flat 350  ","Galway"
"7451","ABITOFGINGER","TAYLORS SKY","LODGEFIELD CHOC","€205.00","58",NA,NA,"-.10 Slow","19.30&nbsp","2/1","S5","QAw,HldOn","11-May-19","Flat 350  ","Galway"
"7452","SPRINGWELL SHEBA","PARADISE MADISON","SPRINGWELL KATIE","€290.00","65","29.64",NA,"-.20 Slow","29.44&nbsp","1/1","A4","Ld 2,RnOn","11-May-19","Flat 525  ","Galway"
"7453","CORRANDULLA BRAE","KINLOCH BRAE","STOOL SAVINGS","€205.00","70","19.68",NA,"-.10 Slow","19.58&nbsp","6/4","S7","Ld 2,HldOn","11-May-19","Flat 350  ","Galway"
"7454","TEST OF TIME","HEAD BOUND","BALLYROBIN VENUS","€325.00","71","30.43",NA,"-.20 Slow","30.23&nbsp","7/4","A1","Ld 1,HldOn","11-May-19","Flat 550  ","Galway"
"7455","THISTIMENEXTYEAR","RAZLDAZL JAYFKAY","QUERRIN BEAUTY","€75.00","73","29.39",NA,"-.20 Slow","29.19&nbsp","3/1","A3","Ld 1,RnOn","11-May-19","Flat 525  ","Galway"
"7456","HEATHLAWNSWALLOW","TYRUR BIG MIKE","HEATHLAWN MOLLY","€75.00","59","29.27",NA,"-.20 Slow","29.07&nbsp","2/1","A2","Mid,LdBS","11-May-19","Flat 525  ","Galway"
"7457","BUMBLEBEE FABIA","ROMEO RECRUIT","DUNDRUM PEARL","€350.00","56","30.54",NA,"-.20 Slow","30.34&nbsp","3/1","A2","Ld 1,StyOn","11-May-19","Flat 550  ","Galway"
"7458","HEADLEYS VICTOR","SUPERIOR PRODUCT","ONECO JOY","€350.00","69",NA,NA,"-.20 Slow","28.80&nbsp","1/1","A1","Ld 1,StyOn","11-May-19","Flat 525  ","Galway"
"7459","CENTAUR","ROMEO RECRUIT","OUTLIER COMEBACK","€310.00","77","29.72",NA,"-.20 Slow","29.52&nbsp","3/1","A5","Ld 1,StyOn","17-May-19","Flat 525  ","Galway"
"7460","FAIRYHILL CHIEF","COOLAVANNY BINGO","SCARTVIEW MANSA","€50.00","77","19.32",NA,"-.10 Slow","19.22&nbsp","1/1","S4","W Ru,EP","17-May-19","Flat 350  ","Galway"
"7461","SUMMERFIELD IVY","SECRETO","TULLIG STUNNER","€50.00","56","19.62",NA,"-.10 Slow","19.52&nbsp"," ","S7","RnOn,LdNrL","17-May-19","Flat 350  ","Galway"
"7462","SALE AGREED","SPARTA MAESTRO","ALLOWDALE NOKIA","€600.00","63","29.17",NA,"-.20 Slow","28.97&nbsp","2/1","A2","Ld 2,RnOn","17-May-19","Flat 525  ","Galway"
"7463","PORTUMNA HERO","PIERCESTOWN SAND","MAID OF CHINA","€25.00","70","19.57",NA,"-.10 Slow","19.47&nbsp","2/1","S6","RnOn,ChlRi","17-May-19","Flat 350  ","Galway"
"7464","NANCYS CAN","LATEST TRICK","RATTLE THE CAN","€205.00","70","19.86",NA,"-.10 Slow","19.76&nbsp","4/5","S9","Chl 1,HldOn","17-May-19","Flat 350  ","Galway"
"7465","ZENAS TARA","TULLYMURRY ACT","ASTRA HARENA","€1000.00","54","29.21",NA,"-.20 Slow","29.01&nbsp","11/10","A2","QAw,ALd","17-May-19","Flat 525  ","Galway"
"7466","TREANMANAGH BOSS","LAUGHIL DUKE","MARIES LEGACY","€205.00","65",NA,NA,"-.10 Slow","19.20&nbsp","4/5","S4","Ld 1,HldOn","17-May-19","Flat 350  ","Galway"
"7467","DUNSALLAGH TUCO","SKYWALKER PUMA","ALEXANDRA","€50.00","63","29.75",NA,"-.20 Slow","29.55&nbsp","4/1","A5","QAw,RnOn","17-May-19","Flat 525  ","Galway"
"7468","FOXWOOD QUEEN","BALLYMAC VIC","BADMINTON TYCHE","€50.00","61","29.72",NA,"-.20 Slow","29.52&nbsp","6/4","A5","Ld 2,drclr","17-May-19","Flat 525  ","Galway"
"7469","DOMINO BURKO","SCOLARI ME DADDY","DEBIDEE NANIA","€350.00","71","29.31",NA,"-.20 Slow","29.11&nbsp","2/1","A3","Ld 1,RnOn","17-May-19","Flat 525  ","Galway"
"7470","TOAST FOR TAZ","PARADISE MADISON","BARRIGONE TRAVEL","€285.00","69","29.49",NA,"-.20 Slow","29.29&nbsp","3/1","A3","Ld 1,RnOn","18-May-19","Flat 525  ","Galway"
"7471","LISMADINE GLOR","AZZA AZZA AZZA","LISMADINE LADY","€50.00","61","19.48",NA,"-.10 Slow","19.38&nbsp","5/2","S5","VQaw,ALd","18-May-19","Flat 350  ","Galway"
"7472","TREANMANAGH KING","LAUGHIL DUKE","MARIES LEGACY","€50.00","76","19.41",NA,"-.10 Slow","19.31&nbsp","6/4","S5","QAw,ALd","18-May-19","Flat 350  ","Galway"
"7473","HARBOUR BLUEBELL","BALLYMAC VIC","HARBOUR MOLLY","€255.00","61","29.64",NA,"-.20 Slow","29.44&nbsp","2/1","A4","QAw,ALd","18-May-19","Flat 525  ","Galway"
"7474","PAPER PLANES","BALLYMAC VIC","TYRUR PINKY","€50.00","79","19.66",NA,"-.10 Slow","19.56&nbsp","2/1","S7","QAw,ALd","18-May-19","Flat 350  ","Galway"
"7475","GUNNER ROBIN","TULLYMURRY ACT","GUNNER MAISIE","€210.00","60","19.35",NA,"-.10 Slow","19.25&nbsp","2/1","S4","Ld 2,RnOn","18-May-19","Flat 350  ","Galway"
"7476","SUMMERFIELD HOPE","SECRETO","TULLIG STUNNER","€900.00","55","29.59",NA,"-.20 Slow","29.39&nbsp","4/1","A4","Ld 2,HldOn","18-May-19","Flat 525  ","Galway"
"7477","ITS MY SAINT","HEAD BOUND","LEAMANEIGH LISA","€310.00","65","29.14",NA,"-.20 Slow","28.94&nbsp","2/1","A2","Ld 1,drclr","18-May-19","Flat 525  ","Galway"
"7478","HANOVER HARMONY","PARADISE MADISON","CLYDAGH PREMIER","€325.00","78","29.23",NA,"-.20 Slow","29.03&nbsp","2/1","A2","Strfin,Ld 4","18-May-19","Flat 525  ","Galway"
"7479","MACKEYS ATTACK","CORPORATE ATTACK","EASTER BREEZE","€325.00","74","29.31",NA,"-.20 Slow","29.11&nbsp","3/1","A3","RnOn,LdNrL","18-May-19","Flat 525  ","Galway"
"7480","RAHA CHAMPION","SKYWALKER PUMA","GLOBAL TALLY HO","€255.00","72","29.85",NA,"-.20 Slow","29.65&nbsp","3/1","A5","Ld 1,RnOn","24-May-19","Flat 525  ","Galway"
"7481","ANNAGH MIKE","TULLYMURRY ACT","LUGHILL MARIE","€50.00","69",NA,NA,"-.10 Slow","19.10&nbsp","2/1","S3","QAw,ALd","24-May-19","Flat 350  ","Galway"
"7482","BRICKHILL FRED","DROOPYS JET","WORSBORO DIVA","€50.00","80","19.32",NA,"-.10 Slow","19.22&nbsp","5/2","S4","QAw,RnOn","24-May-19","Flat 350  ","Galway"
"7483","AIRMOUNT ALICE","TAYLORS SKY","AIRMOUNT CHER","€285.00","60","29.46",NA,"-.20 Slow","29.26&nbsp","5/4","A3","Ld 3,Strfin","24-May-19","Flat 525  ","Galway"
"7484","CLONEYOGAN BLAZE","KINLOCH BRAE","TIERMANA RUM","€50.00","77","19.17",NA,"-.10 Slow","19.07&nbsp","4/1","S2","QAw,RnOn","24-May-19","Flat 350  ","Galway"
"7485","PINNACLE AZZA","AZZA AZZA AZZA","KEIKO","€205.00","74","19.55",NA,"-.10 Slow","19.45&nbsp","6/4","S6","ALd,HldOn","24-May-19","Flat 350  ","Galway"
"7486","PENDYS VAL","TYRUR BIG MIKE","CALLING VAL","€290.00","60","29.35",NA,"-.20 Slow","29.15&nbsp","5/2","A3","FAw,ALd","24-May-19","Flat 525  ","Galway"
"7487","GRAHAMS STAR","RIO QUATTRO","WAY OUT","€350.00","68","29.14",NA,"-.20 Slow","28.94&nbsp","1/1","A2","Ld 1,Styd","24-May-19","Flat 525  ","Galway"
"7488","THATLL DO NOW","DROOPYS RODDICK","CALLING VAL","€1000.00","67","29.64",NA,"-.20 Slow","29.44&nbsp","4/1","A4","QAw,ALd","24-May-19","Flat 525  ","Galway"
"7489","ESTIMATE","DROOPYS JET","KILLINAN BABY","€325.00","61","29.47",NA,"-.20 Slow","29.27&nbsp","4/6","A3","QAw,HldOn","24-May-19","Flat 525  ","Galway"
"7490","MAYO FOR SAM","BOHERNA HOUSE","FIONAS STAR","€290.00","75","29.62",NA,"-.20 Slow","29.42&nbsp","5/1","A4","Ld 1,HldOn","25-May-19","Flat 525  ","Galway"
"7491","CAISLEAN HOPE","BLADES OF HOPE","HEART LIGHT","€205.00","88","19.64",NA,"-.10 Slow","19.54&nbsp","4/5","S7","RnOn,LdNrL","25-May-19","Flat 350  ","Galway"
"7492","FAST FIT BUDDY","BALLYMAC BEST","LAHARD MISSY","€205.00","68","19.69",NA,"-.10 Slow","19.59&nbsp","5/2","S7","Ld 2,HldOn","25-May-19","Flat 350  ","Galway"
"7493","DERRYMOYLE MAY","SIDAZ JACK","CAVAN LADY","€210.00","61","29.61",NA,"-.20 Slow","29.41&nbsp","3/1","A4","Ld 1,RnOn","25-May-19","Flat 525  ","Galway"
"7494","NON STOP","SHANEBOY LEE","RAFICKY","€205.00","62","19.52",NA,"-.10 Slow","19.42&nbsp","7/4","S6","Ld 1,RnOn","25-May-19","Flat 350  ","Galway"
"7495","SELLOUT CRAYTUR","KISSES FOR CLODA","RAZLDAZL HOLLY","€210.00","73",NA,NA,"-.10 Slow","19.10&nbsp","6/4","S3","Ld 1,RnOn","25-May-19","Flat 350  ","Galway"
"7496","FIRESTORM ARROW","PARADISE MADISON","FIRESTORM MARINA","€290.00","63","29.43",NA,"-.20 Slow","29.23&nbsp","3/1","A3","Ld 3,RnOn","25-May-19","Flat 525  ","Galway"
"7497","COLOSSAL STEP","SPARTA MAESTRO","CILLOWEN FOXTROT","€325.00","68","29.25",NA,"-.20 Slow","29.05&nbsp","3/1","A2","Ld 1,StyOn","25-May-19","Flat 525  ","Galway"
"7498","IMPACT TOBY","TYRUR BIG MIKE","IMPACT MIXTURE","€350.00","76","29.09",NA,"-.20 Slow","28.89&nbsp","3/1","A1","RnOn,Strfin","25-May-19","Flat 525  ","Galway"
"7499","CONFUSED REILLY","SCOLARI ME DADDY","CONFUSED BREDA","€325.00","71","29.16",NA,"-.20 Slow","28.96&nbsp","6/4","A2","Ld 1,HldOn","25-May-19","Flat 525  ","Galway"
"7500","NOT AT ALL","SKYWALKER PUMA","ITS NOT YOU","€310.00","74",NA,NA,"-.20 Slow","29.00&nbsp","5/4","A2","Ld 2,Strfin","01-Jun-19","Flat 525  ","Galway"
"7501","ITS MY PUMA","SKYWALKER PUMA","ITS NOT YOU","€255.00","71","29.86",NA,"-.20 Slow","29.66&nbsp","4/6","A5","ImpRu,RnOn","01-Jun-19","Flat 525  ","Galway"
"7502","FUERTY FERRARI","TYRUR BIG MIKE","FUERTY FLASH","€210.00","76","30.06",NA,"-.20 Slow","29.86&nbsp","4/5","A6","MsdBk,Strfin","01-Jun-19","Flat 525  ","Galway"
"7503","KILBANNON VOIGHT","TYRUR SUGAR RAY","TYRUR DOLORES","€210.00","70","19.24",NA,"-.10 Slow","19.14&nbsp","5/4","S3","Ld 1,HldOn","01-Jun-19","Flat 350  ","Galway"
"7504","COMBO POLLY","TYRUR BIG MIKE","HOW YA CREATOR","€325.00","75","29.11",NA,"-.20 Slow","28.91&nbsp","2/1","A2","QAw,ALd","01-Jun-19","Flat 525  ","Galway"
"7505","BUMBLEBEE JASON","KINLOCH BRAE","BUMBLEBEE ROSIE","€310.00","70",NA,NA,"-.20 Slow","29.20&nbsp","6/4","A3","Ld 1,HldOn","01-Jun-19","Flat 525  ","Galway"
"7506","EMMAS DREAM","PIERCESTOWN SAND","MAID OF CHINA","€325.00","65","28.91",NA,"-.20 Slow","28.71&nbsp","4/5","A1","Ld 1,drclr","01-Jun-19","Flat 525  ","Galway"
